feature	rep	val	estimate	pval	pval_corr
UBN1	Rep 2	P97.5	0.231348494419349	0	0
SMC1A	Rep 2	P97.5	0.23130616659560055	0	0
ZNF318	Rep 2	P97.5	0.23128415481323605	0	0
ZNF687	Rep 2	estimate	0.23125638215701327	0	0
HMGN3	Rep 2	estimate	0.231189942021766	0	0
CUX1	Rep 2	P2.5	0.2310444553122495	0	0
PBX1	Rep 2	P97.5	0.23098563814111595	0	0
BCL6	Rep 2	P2.5	0.23097562940837008	0	0
MYOD1	Rep 2	estimate	0.2309685097499835	0	0
RUVBL2	Rep 2	estimate	0.23094521884391153	0	0
MYNN	Rep 2	estimate	0.2306882565306412	0	0
CHD8	Rep 2	P97.5	0.2306700642943287	0	0
LDB1	Rep 2	P2.5	0.23058107609581396	0	0
STAT1	Rep 2	P2.5	0.23054398152602565	0	0
MNX1	Rep 2	P97.5	0.2304188413207713	0	0
MYF5	Rep 2	P2.5	0.230283237369454	0	0
XRCC5	Rep 2	P2.5	0.23027635845138444	0	0
ATF7	Rep 2	P2.5	0.2301823825430937	0	0
TERF2	Rep 2	P97.5	0.23012832719849705	0	0
ZXDB	Rep 2	P97.5	0.23005859400646378	0	0
YY2	Rep 2	estimate	0.23004552414443352	0	0
ZNF610	Rep 2	P97.5	0.22988763092799402	0	0
ARID2	Rep 2	P2.5	0.22975664470977	0	0
PKNOX1	Rep 2	P2.5	0.22972128096634023	0	0
ZFY	Rep 2	estimate	0.2296262641154774	0	0
ZNF777	Rep 2	estimate	0.22959243408945884	0	0
RBBP5	Rep 2	estimate	0.2295195826516654	0	0
RBP2	Rep 2	estimate	0.22949469222443247	0	0
ZNF629	Rep 2	estimate	0.22939854872986049	0	0
MRTFA	Rep 2	estimate	0.22939798264689748	0	0
EBF1	Rep 2	estimate	0.22936371622292728	0	0
KAT2B	Rep 2	P97.5	0.229245006026333	0	0
IRF4	Rep 2	estimate	0.22919387997850835	0	0
ATRX	Rep 2	P2.5	0.22916502772693953	0	0
TRIM24	Rep 2	P2.5	0.22906339339575582	0	0
STAT2	Rep 2	P97.5	0.22903410515225364	0	0
MXD4	Rep 2	P97.5	0.22902493710876462	0	0
CTNNB1	Rep 2	P97.5	0.22887473645845188	0	0
MAML1	Rep 2	P97.5	0.2288363228309138	0	0
THAP1	Rep 2	estimate	0.2288085364999281	0	0
SOX4	Rep 2	estimate	0.22860599500885284	0	0
E2F5	Rep 2	P97.5	0.22856649236318555	2.22044604925031e-16	3.023977630608852e-16
ZNF76	Rep 2	estimate	0.22847514619238102	0	0
ZMYND8	Rep 2	estimate	0.22845476949457727	0	0
JUN	Rep 2	estimate	0.2283345646485182	0	0
ZNF12	Rep 2	estimate	0.22826164051984785	0	0
APC	Rep 2	P2.5	0.2282186845589568	0	0
ZBTB14	Rep 2	P97.5	0.22819543710762216	0	0
MEF2C	Rep 2	P97.5	0.2281580581363581	3.10862446895044e-15	4.204531860610607e-15
PCBP1	Rep 2	estimate	0.22815228772452398	0	0
DNMT3B	Rep 2	P2.5	0.22810594191716094	0	0
TFIIIC	Rep 2	P97.5	0.22807703418128583	0	0
ZMYND11	Rep 2	P97.5	0.22804810101880335	0	0
ETV4	Rep 2	P2.5	0.2279952680519104	0	0
DDX5	Rep 2	estimate	0.22788467013606836	0	0
MTA1	Rep 2	P97.5	0.22780353640100637	0	0
L3MBTL2	Rep 2	P2.5	0.22763275528068996	0	0
ZBTB11	Rep 2	P97.5	0.22762922360285326	0	0
SMAD3	Rep 2	P2.5	0.2273370967094872	0	0
FOXO1	Rep 2	P97.5	0.22720200336235097	0	0
HNF4A	Rep 2	P2.5	0.22712817868898766	0	0
FIP1L1	Rep 2	P2.5	0.22697870122334077	0	0
